title,apply_status,education_category,edu_date,capacity,fee,edu_content,apply_start,apply_end
노인일자리 화상예방교육(노인 화상 예방송 포함),접수진행중,공공일자리 교육,교육승인일로 부터    21일,500,무료,"['노인일자리 화상예방교육 ', '노인화상 사고예방 및 응급처치를 위한 노인 화상 예방송_앗뜨거송', '노인화상 사고예방 및 응급처치를 위한 노인 화상 예방송_저온화상송']",2023-06-01 , 2025-12-31
노인일자리 적응하기,접수진행중,공공일자리 교육,교육승인일로 부터    21일,500,무료,['노인일자리 적응하기'],2023-06-01 , 2025-12-31
노인일자리의 이해,접수진행중,공공일자리 교육,교육승인일로 부터    21일,500,무료,['노인일자리의 이해 '],2023-06-01 , 2025-12-31
2023 공공일자리 훑어보기,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['안전분야', '경비분야', '교통분야', '돌봄분야', '디지털분야']",2023-03-06 , 2024-12-31
장롱면허 되살리기-요양보호사 취업설명회,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['요양보호사 취업설명회-이론', '요양보호사 취업설명회-실전']",2023-03-06 , 2024-12-31
[채용설명회] 시니어드라이버,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['시니어드라이버-직무안내', '시니어드라이버-질의응답·업무 프로세스']",2023-03-06 , 2024-12-31
취업 진단도구 활용법,접수진행중,소양교육,교육승인일로 부터    21일,500,무료,['취업 진단도구 활용법'],2023-02-10 , 2023-12-31
시니어 재취업 자격증 완전정복 - 국민내일배움카드 편,접수진행중,소양교육,교육승인일로 부터    21일,500,무료,['국민내일배움카드 편'],2022-10-18 , 2024-12-31
시니어 재취업 자격증 완전정복 - 사무직 분야편,접수진행중,소양교육,교육승인일로 부터    21일,500,무료,['사무직 분야 편'],2022-08-11 , 2024-12-31
시니어 재취업 자격증 완전정복 - 운전 분야편,접수진행중,소양교육,교육승인일로 부터    21일,500,무료,['운전 분야편'],2022-08-09 , 2024-12-31
시니어 재취업 자격증 완전정복 - 경비·시설 분야편,접수진행중,소양교육,교육승인일로 부터    21일,500,무료,['경비·시설 분야편'],2022-06-17 , 2024-12-31
시니어 재취업 자격증 완전정복 - 돌봄 분야편,접수진행중,소양교육,교육승인일로 부터    21일,500,무료,['돌봄 분야편'],2022-06-13 , 2024-12-31
방역원교육(입문),접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['방역원교육 1강', '방역원교육 2강']",2021-12-09 , 2024-12-31
병원동행전문가(입문),접수진행중,직업교육,교육승인일로 부터    21일,200,무료,"['병원동행 서비스의 이해', '사회복지 패러다임의 변화와 노인복지']",2021-11-26 , 2024-12-31
[놀이치료사] 아이의 마음을 여는 놀이치료 첫걸음,접수진행중,직업교육,교육승인일로 부터    30일,500,무료,"['놀이치료의 의미와 효과', '놀이치료사의 역할과 직무', '놀이치료의 상담환경에 대한 이해', '놀이치료의 과정 - 접수상담의 이론과 실제']",2021-11-24 , 2024-12-31
[여행상품개발자] 기초부터 실무까지,접수진행중,직업교육,교육승인일로 부터    30일,500,무료,"['여행상품개발자와 관광산업의 이해', '여행상품의 이해', '여행상품의 기획', '여행상품 기획 실전1 - 국내 여행상품', '여행상품 기획 실전2 - 해외 여행상품', '여행상품 기획 실전3 - 축제, MICE', '여행상품 기힉 실전 4 - FIT 여행상품', '여행상품 브랜드', '우수여행상품 분석', '여행상품기획자의 진로']",2021-11-24 , 2024-12-31
[커리어컨설턴트] 실무중심의 커리어컨설팅 상담의 실제,접수진행중,직업교육,교육승인일로 부터    30일,500,무료,"['내담자 특성별 커리어컨설팅의 실제', '구직 스트레스의 특성 이해', '구직 스트레스 특성과 관리법', '사이버상담의 기법과 실제', '전화상담의 기법과 실제']",2021-11-24 , 2024-12-31
[웃음치료사] 몸과 마음을 치유하는 웃음치료 첫걸음,접수진행중,직업교육,교육승인일로 부터    30일,500,무료,"['웃음치료의 중요성 및 웃음치료사의 역할', '웃음원리와 웃음치료의 기본원리', '웃음의 건강학과 성공학', '웃음치료 과정', '웃음치료 프로그램 설계와 응용']",2021-11-24 , 2024-12-31
[미술치료사] 그림으로 마음을 읽는 미술치료 첫걸음,접수진행중,직업교육,교육승인일로 부터    30일,500,무료,"['미술치료의 개념과 미술치료 과정', '미술치료의 세가지 이론적 관점', '미술치료의 장점과 치료목적', '미술치료의 적용대상과 미술치료사의 역할', '아동미술치료 사례']",2021-11-24 , 2024-12-31
[창업] 필수 근로기준법과 인사서식,접수진행중,창업교육,교육승인일로 부터    21일,500,무료,"['모든 사업장에 적용되는 근로기준법 알아보기', '인사서식구비와 5인 이상 사업장에 적용되는 근로기준법 알기']",2021-11-24 , 2024-12-31
[창업] 분쟁 예방을 위한 창업지식 재산권,접수진행중,창업교육,교육승인일로 부터    21일,500,무료,"['창업자를 위한 지식재산권 Point', '지식재산권 분쟁땐 이렇게 대응하자']",2021-11-24 , 2024-12-31
[창업] 창업자에게 꼭 필요한 회계세무 기초지식 쌓기,접수진행중,창업교육,교육승인일로 부터    21일,500,무료,"['창업을 위한 회계 기초 지식 쌓기', '창업을 위한 세무 기초 지식 쌓기']",2021-11-24 , 2024-12-31
[창업] 마케팅 이렇게 시작하라,접수진행중,창업교육,교육승인일로 부터    21일,500,무료,"['온/오프라인 마케팅에 대한 이해', '온/오프라인 실전 마케팅 전략']",2021-11-24 , 2024-12-31
[창업] 창업 트렌드 분석과 전략적 사업계획서 작성하기,접수진행중,창업교육,교육승인일로 부터    30일,500,무료,"['창업 생태계와 트렌드 분석', '비즈니스모델 캔버스로 사업계획서 뼈대를 완성하자', '사업계획서 작성에도 전략이 필요하다!', '업종별 사업 계획서 작성 사례보기']",2021-11-24 , 2024-12-31
학습매니저,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['아이들의 눈높이에 맞게 학습 습관을 길러주는, 학습매니저']",2021-11-24 , 2024-12-31
플레이튜터,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['통하는 플레이로 성장하는 아이로, 플레이 튜터']",2021-11-24 , 2024-12-31
독서치료사,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['우리 아이의 잠재력을 이끌어주는, 독서치료사']",2021-11-24 , 2024-12-31
아동요리교실 전문가,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['주부 능력을 십분 발휘하는, 아동요리교실 전문가']",2021-11-24 , 2024-12-31
정리정돈 컨설턴트,접수진행중,직업교육,교육승인일로 부터    21일,500,무료,"['잡동사니 아웃, 정리정돈 컨설턴트']",2021-11-24 , 2024-12-31
